week_start,total,nguard,rifle,air,pilot,seaman,marine,tank,art,eng,other,nd,special,vol,mob,signal,airdef,chem,pmc,fsb,groundavia,inmates
"24.02.2022",615,75,133,169,17,6,20,48,21,17,8,42,36,9,,4,4,4,,1,1,
"03.03.2022",701,25,187,160,38,7,48,82,12,4,11,62,28,16,,2,8,2,2,,6,1
"10.03.2022",529,15,145,121,6,2,40,55,21,4,5,52,40,10,,3,3,2,,1,4,
"17.03.2022",311,15,113,19,2,6,44,32,6,2,5,24,8,19,,2,5,1,8,,,
"24.03.2022",434,12,145,47,3,8,34,37,20,5,5,44,7,29,,2,1,2,31,,1,1
"31.03.2022",265,6,79,19,3,2,13,15,13,3,5,45,10,32,,1,,,17,,2,
"07.04.2022",228,13,57,12,1,30,15,18,6,3,,24,12,17,,,1,1,16,,1,1
"14.04.2022",245,3,73,48,1,2,18,11,4,3,7,28,10,23,,,1,,11,1,,1
"21.04.2022",373,11,120,56,4,2,16,16,16,1,10,33,11,57,,2,3,1,11,,,3
"28.04.2022",282,6,86,27,2,2,14,19,7,3,2,24,26,54,,1,2,1,6,,,
"05.05.2022",356,6,103,27,3,13,25,31,14,6,5,29,23,58,,3,1,1,6,,1,1
"12.05.2022",237,5,68,33,2,,8,11,11,6,2,24,6,45,,1,5,,9,,1,
"19.05.2022",382,6,74,157,1,2,8,16,7,7,4,36,16,43,,1,1,,3,,,
"26.05.2022",307,9,59,60,1,4,24,8,7,2,5,31,20,52,,1,1,2,13,8,,
"02.06.2022",254,3,56,34,1,1,18,15,4,2,4,42,18,53,,,,,3,,,
"09.06.2022",213,3,35,30,,6,8,7,9,2,4,29,10,49,,2,1,,14,1,,3
"16.06.2022",258,11,58,16,3,14,12,15,9,,3,32,17,47,,2,2,5,7,5,,
"23.06.2022",294,8,71,35,6,3,8,14,11,1,20,36,14,52,,3,,1,10,,1,
"30.06.2022",275,6,52,28,7,4,5,8,11,9,5,29,23,60,,8,6,,11,,3,
"07.07.2022",263,11,58,27,4,9,5,12,11,1,11,43,17,33,,6,2,2,6,1,2,2
"14.07.2022",256,37,45,24,1,,2,15,10,4,5,31,5,47,,2,2,,14,,2,10
"21.07.2022",182,15,27,24,1,4,14,1,6,,8,26,3,34,,1,,,6,2,1,9
"28.07.2022",124,2,20,20,,1,1,6,7,,3,16,6,23,,,,,2,2,,15
"04.08.2022",195,4,37,13,1,,9,5,5,,2,19,9,52,,,5,,19,,,15
"11.08.2022",262,3,46,21,,4,9,16,9,3,5,28,26,58,,4,1,,7,,2,20
"18.08.2022",208,10,37,20,1,,5,8,4,,4,30,3,53,,5,3,,12,,,13
"25.08.2022",316,20,40,39,1,3,23,5,17,8,7,42,6,54,,3,2,,24,,3,19
"01.09.2022",411,8,77,48,,3,23,10,23,1,9,59,14,72,,5,7,1,14,2,1,34
"08.09.2022",400,23,49,33,2,4,14,14,20,,4,56,5,105,,4,5,1,23,2,1,35
"15.09.2022",366,13,55,24,2,,8,11,24,3,4,46,7,73,,6,2,,17,2,1,68
